"","x"
"TotalWorkingYears",127.014506273736
"YearsInCurrentRole",114.835476000066
"Age",114.365694152561
"JobLevel",111.439608080675
"StockOptionLevel",104.785800536001
"MonthlyIncome",102.953797979181
"YearsWithCurrManager",102.363962430824
"YearsAtCompany",96.5958783078348
"JobInvolvement",95.122332621992
"JobSatisfaction",89.9794096506592
"OverTimeYes",78.932080255483
"MaritalStatusSingle",60.2234171223148
"TrainingTimesLastYear",60.1232538964096
"EnvironmentSatisfaction",55.7383375716426
"WorkLifeBalance",55.7313534707322
"MonthlyRate",41.2025693713073
"RelationshipSatisfaction",38.9438961302452
"DistanceFromHome",38.3826634579502
"DepartmentResearch...Development",36.8787968912377
"BusinessTravelTravel_Frequently",31.4278867926825
"DepartmentSales",30.9336440184569
"MaritalStatusMarried",27.9171818697676
"JobRoleSales.Representative",27.5954295695371
"NumCompaniesWorked",25.2722737633163
"PercentSalaryHike",25.0366475462011
"BusinessTravelNon.Travel",23.1408280712272
"PerformanceRating",20.1420534757285
"EducationFieldMedical",17.4344904528884
"JobRoleLaboratory.Technician",16.7693523663215
"JobRoleManager",14.4249717254663
"GenderMale",14.2081069875353
"DailyRate",14.090890626795
"EducationFieldTechnical.Degree",13.5537957659295
"YearsSinceLastPromotion",13.1951505127587
"JobRoleManufacturing.Director",13.1290325276508
"JobRoleResearch.Director",12.0646471161702
"EducationFieldMarketing",10.856181197775
"JobRoleSales.Executive",10.3753683176508
"EducationFieldLife.Sciences",9.54679015891283
"HourlyRate",8.89341217626141
"BusinessTravelTravel_Rarely",8.28705872145527
"JobRoleHuman.Resources",8.28698534185141
"EducationFieldOther",4.40033287297168
"Education",3.70652552020509
"JobRoleResearch.Scientist",0.94636845944247
